number_of_letter;addressee;gender;date;place;appeal;first_line;signature;volume;pages;poetry;autograph;copy;first published;printed according to
83;А. И. Тургенев;м;середина июня 1811;Муратово;;Мой милый и всегдашний друг, скажу о себе два слова;Твой навеки Жуковский;15;128;;ГАРФ. Ф. 1094 (Тургеневы). Оп. 1. № 76. Л. 1—1 об. Б. д.;;ПСС Жуковский в 20 т., т. 15;автограф
84;П. А. Вяземский;м;середина июня 1811;Муратово;мой милый друг;Благодарю тебя, мой милый друг, за твое письмо и за твою дружбу;Твой Жуковский ;15;129;;РГАЛИ. Ф. 195. Оп. 1. № 1909. Л. 68—68 об. Б. д.;;ПСС Жуковский в 20 т., т. 15;автограф
85;П. А. Вяземский;м;8 сентября 1811;Муратово;Милый друг;Милый друг, ты сердишься на меня, молчишь и воображаешь, что я тебя забыл;Твой Жуковский ;15;131;;РГАЛИ. Ф. 195. Оп. 1. № 1909. Л. 34.;;ПСС Жуковский в 20 т., т. 15;автограф
86;П. А. Вяземский;м;22 сентября 1811;Муратово;;Я получил здесь очень неприятное о тебе известие, которому, однако, не верю;Твой Жуковский ;15;131;;РГАЛИ. Ф. 195. Оп. 1. № 1909. Л. 18—19. Б. г.;;ПСС Жуковский в 20 т., т. 15;автограф
87;П. А. Вяземский;м;середина сентября 1811;Муратово;;Поздравляю и себя, и тебя с твоим счастьем! Ты удивил меня чрезвычайно;Твой Жуковский;15;132;;РГАЛИ. Ф. 195. Оп. 1. № 1909. Л. 16. Б. д.;;ПСС Жуковский в 20 т., т. 15;автограф
88;П. А. Вяземский;м;первая половина октября 1811;Муратово;любезнейший друг;Благодарю тебя, любезнейший друг, за твое письмо, которое успокоило меня насчет твоего здоровья;Твой Жуковский ;15;133;;РГАЛИ. Ф. 195. Оп. 1. № 1909. Л. 10—10 об. Б. д.;;Арзамас-2. Кн. 1. С. 173—174 — фрагмент.;автограф
89;П. А. Вяземский;м;конец (после 18-го) октября 1811;Муратово;Мой милой друг!;Мой милой друг! Знать, недосуг Писать к друзьям?;;15;135;стих.;1) РНБ. Оп. 1. № 12. Л. 7—8 (черновой). Б. д. 2) РГАЛИ. Ф. 195. Оп. 1. № 5. Л. 23—24 (беловой). Б. д.;;Бумаги Жуковского. С. 18—19 (фрагменты: ст. 1—9, 76—96), републикация: Старина и новизна. 1916. Кн. 20. С. 235—238. Полностью: ПСС. Т. 1. С. 97—98.;беловой автограф
90;П. А. Вяземский;м;6 ноября 1811;Белев;любезнейший друг;Отвечаю на два письма твои, любезнейший друг, и начну поздравлением;;15;137;;РГАЛИ. Ф. 195. Оп. 1. № 1909. Л. 22—23.;;Арзамас-2. Кн. 1. С. 174 — фрагмент.;автограф
91;В. Ф. Вяземская;ж;7 ноября 1811;Белев;Милостивая государыня Вера Федоровна;Ваше письмо есть самое неоспоримое доказательство, что мой любезный Вяземский точно мне друг;В. Жуковский;15;139;;РГАЛИ. Ф. 195. Оп. 1. № 3303. Л. 1.;;ПСС Жуковский в 20 т., т. 15;автограф
92;Д. Н. Блудов;м;5—11 декабря 1811;Белев;любезнейший мой друг;Всё имеет свою хорошую сторону, любезнейший мой друг, даже и наша с тобою лень писать друг к другу (которая, сказать правду, лишает нас больших удовольствий);;15;139;;РГАЛИ. Ф. 72 (Д. Н. Блудов). Оп. 1. № 5. Л. 1—1 об. Б. д.;;"ЖИМ. Вып. 1. С. 319—322; републикация: РЛ. 2009. № 3. С. 90—91. Публикация А. С. Янушкевича.";автограф
93;П. А. Вяземский;м;начало декабря 1811;Муратово;любезнейший друг;Шиллер приехал, и я тебя обнимаю, любезнейший друг, за твой подарок;;15;141;;РГАЛИ. Ф. 195. Оп. 1. № 1909. Л. 9—9 об. Б. д.;;ПСС Жуковский в 20 т., т. 15;автограф
94;П. А. Вяземский;м;конец 1811;Муратово;Князь Петр, жилец Московский!;Князь Петр, жилец Московский! Рука твоя легка!;;15;142;стих.;РГАЛИ. Оп. 1. № 5. Л. 21—21 об. Б. д.;;ПМиЖ. Вып. 13. С. 58—59. Публикация О. Б. Лебедевой и А. С. Янушкевича;автограф
95;П. А. Вяземский;м;начало февраля 1812;;Любезнейший настоящий друг мой и будущий отец (но не мой) князь Петр Андреевич;Любезнейший настоящий друг мой и будущий отец (но не мой) князь Петр Андреевич, приложенное письмо доставь Тургеневу;Твой Жуковский;15;143;;РГАЛИ. Ф. 195. Оп. 1. № 1909. Л. 25. Б. д.;;ПСС Жуковский в 20 т., т. 15;автограф
96;П. А. Вяземский;м;первая половина марта 1812;Мишенское;;У тебя есть в твоей библиотеке книга: «Paris, Versailles et ses provinces a la très du XVIII siècle» ;;15;144;;РГАЛИ. Ф. 195. Оп. 1. № 1909. Л. 8. Б. д.;;ПСС Жуковский в 20 т., т. 15;автограф
97;П. А. Вяземский;м;конец апреля 1812;Муратово;Любезнейший мой друг;Любезнейший мой друг, не сердись на меня за мое молчание;;15;144;;РГАЛИ. Ф. 195. Оп. 1. № 1909. Л. 53. Б. д.;;РА. 1866. № 6. Стб. 874 — фрагмент.;автограф
98;П. А. Вяземский;м;конец мая 1812;Чернь;Любезный друг;Любезный друг, получил твое любезное письмо и деньги: за то и другое благодарю;;15;145;;РГАЛИ. Ф. 195. Оп. 1. № 1909. Л. 66—67. Б. д.;;ПСС Жуковский в 20 т., т. 15;автограф
99;"П. А. Вяземский; Д. П. Северный";"м; м";конец мая 1812;Муратово;любезнейшие друзья Вяземский и Северин;Здравствуйте, любезнейшие друзья Вяземский и Северин. Обнимаю вас и люблю;;15;147;;РГАЛИ. Ф. 195. Оп. 1. № 1909. Л. 40. Б. д.;;ПСС Жуковский в 20 т., т. 15;автограф
100;П. А. Вяземский;м;начало июня 1812;Муратово;;Вот послание. Прошу его прочитать и тотчас мне возвратить с своими критическими замечаниями;;15;147;;РГАЛИ. Ф. 195. Оп. 1. № 1909а. Л. 40. Б. д.;;ПСС Жуковский в 20 т., т. 15;автограф
101;П. А. Вяземский;м;конец июля 1812;;;Дней через десять я у тебя в доме;Твой Жуковский;15;148;;РГАЛИ. Ф. 195. Оп. 1. № 1909. Л. 24. Б. д.;;ПСС Жуковский в 20 т., т. 15;автограф
102;А. И. Тургенев;м;6 февраля 1813;Белев;мой милый друг;Здравствуй, мой милый друг. Ты удивишься, получив мое письмо из Белева1;Твой Жуковский;15;148;;РНБ. Оп. 2. № 146. Л. 15.;;ПЖТ. С. 96—97;автограф
103;В. А. Азбукин;м;19 февраля 1813;Белев;любезный мой Василий Андреевич;Бога Вы не боитесь, любезный мой Василий Андреевич;Ваш Жуковский;15;149;;неизвестен;РНБ. Оп. 2. № 437. Л. 1—2 — с пометами редакции РА и примечанием: «Письмо к В. А. Азбукину. Доставлено дочерью его Авд. Вас. Пелопидас». Б. г.;ПСС Жуковский в 20 т., т. 15;копия
